Feature_Index	Peak_Index
95	25057
95	25058
95	25084
95	25085
95	25108
95	25109
95	25131
95	25132
95	25149
95	25150
95	25164
95	25180
95	25196
95	25211
95	25231
95	25248
96	21301
96	21322
96	21346
96	21347
96	21367
96	21368
96	21389
96	21390
96	21412
96	21413
96	21433
96	21434
96	21453
96	21454
96	21478
96	21479
96	21500
96	21501
96	21520
96	21521
96	21544
96	21545
96	21569
96	21570
96	21594
96	21595
96	21615
96	21616
96	21634
96	21635
96	21652
96	21653
96	21666
96	21667
96	21681
96	21682
96	21698
96	21703
96	21704
96	21719
96	21720
96	21733
96	21734
96	21747
96	21748
96	21762
96	21763
96	21776
96	21777
96	21790
96	21791
96	21804
96	21805
96	21818
96	21819
96	21832
96	21833
96	21845
96	21846
96	21858
96	21859
96	21872
96	21873
96	21887
96	21888
96	21901
96	21902
96	21917
96	21932
96	21947
96	21962
96	22029
97	18808
97	18825
97	18839
97	18840
97	18854
97	18855
97	18870
97	18871
97	18885
97	18886
97	18901
97	18902
97	18919
97	18920
97	18937
97	18938
97	18954
97	18955
97	18972
97	18973
97	18989
97	18990
97	19004
97	19005
97	19021
97	19022
97	19038
97	19039
97	19053
97	19054
97	19070
97	19071
97	19088
97	19089
97	19104
97	19105
97	19121
97	19122
97	19143
97	19144
97	19164
97	19165
97	19187
97	19188
97	19209
97	19210
97	19229
97	19230
97	19250
97	19251
97	19273
97	19274
97	19296
97	19319
97	19338
97	19356
97	19379
97	19403
97	19457
97	19487
97	19515
97	19546
97	19579
97	19609
97	19636
97	19665
97	19694
97	19742
97	19821
98	35106
98	35196
98	35219
98	35243
98	35261
98	35281
98	35298
98	35319
98	35336
98	35352
98	35372
98	35394
98	35416
98	35452
99	20958
99	20973
99	20988
99	21003
99	21020
99	21038
100	6894
100	6913
100	6929
100	6947
100	6964
100	6984
101	8311
101	8332
101	8357
101	8358
101	8377
101	8378
101	8394
101	8395
101	8411
101	8412
101	8424
101	8425
101	8438
101	8439
101	8449
101	8450
101	8460
101	8461
101	8470
101	8471
101	8481
101	8482
101	8490
101	8491
101	8500
101	8501
101	8511
101	8512
101	8519
101	8531
101	8532
101	8548
101	8549
101	8566
101	8567
101	8584
101	8585
101	8600
101	8601
101	8618
101	8619
101	8632
101	8649
101	8664
101	8682
101	8697
101	8725
101	8743
101	8758
101	8778
101	8798
101	8822
101	8846
101	8874
102	11700
102	11701
102	11717
102	11718
102	11736
102	11737
102	11754
102	11755
102	11773
102	11774
102	11791
102	11792
102	11806
102	11807
102	11816
102	11817
102	11831
102	11832
102	11846
102	11847
102	11859
102	11860
102	11872
102	11873
102	11884
102	11885
102	11899
102	11900
102	11914
102	11931
102	11948
102	11965
102	11994
103	14923
103	14924
103	14951
103	14952
103	14975
103	14976
103	15000
103	15001
103	15030
103	15031
103	15059
103	15060
103	15084
103	15085
103	15102
103	15103
103	15118
103	15119
103	15134
103	15135
103	15151
103	15166
103	15183
104	5534
104	5547
104	5557
104	5565
104	5574
104	5575
104	5595
104	5609
104	5625
104	5643
104	5661
104	5699
104	5717
105	19942
105	19962
105	19982
105	19983
105	19998
105	19999
105	20016
105	20017
105	20035
105	20036
105	20055
105	20056
105	20076
105	20077
105	20096
105	20097
105	20116
105	20117
105	20131
105	20132
105	20144
105	20145
105	20156
105	20157
105	20167
105	20168
105	20181
105	20182
105	20191
105	20192
105	20200
105	20201
105	20209
105	20210
105	20227
106	16806
106	16825
106	16842
106	16856
106	16868
106	16883
106	16914
106	16970
106	16985
106	17000
106	17026
106	17040
106	17060
106	17081
106	17099
107	18016
107	18029
107	18030
107	18043
107	18044
107	18053
107	18054
107	18064
107	18065
107	18074
107	18084
107	18085
107	18094
107	18095
107	18104
107	18105
107	18113
107	18125
107	18126
107	18138
107	18139
107	18152
107	18153
107	18168
107	18169
107	18182
107	18183
107	18199
107	18200
107	18217
107	18218
107	18236
107	18237
107	18256
107	18257
107	18276
107	18277
107	18297
107	18298
107	18315
107	18316
107	18342
107	18343
107	18361
107	18377
107	18378
107	18394
107	18395
107	18414
107	18415
107	18431
107	18449
107	18450
107	18467
107	18468
107	18483
107	18497
107	18498
107	18510
107	18511
107	18527
107	18528
107	18540
107	18541
107	18554
107	18555
107	18569
107	18570
107	18581
107	18582
107	18596
107	18597
107	18611
107	18612
107	18625
107	18626
107	18639
107	18640
107	18652
107	18653
107	18664
107	18665
107	18674
107	18675
107	18687
107	18688
107	18701
107	18702
107	18715
107	18716
107	18733
107	18734
107	18751
107	18752
107	18771
107	18772
107	18790
107	18809
107	18810
107	18826
107	18841
107	18856
107	18872
107	18887
107	18903
107	18921
107	18939
107	18956
107	18974
107	18991
107	19006
107	19023
107	19040
107	19055
107	19072
107	19090
107	19106
107	19123
107	19145
107	19166
107	19189
107	19211
107	19231
107	19252
107	19275
107	19297
107	19320
107	19339
107	19357
107	19380
107	19404
107	19428
107	19458
107	19488
107	19516
107	19547
107	19580
107	19610
107	19637
107	19666
107	19695
107	19743
107	19768
107	19795
107	19822
107	19848
107	19871
107	19890
107	19907
107	19923
107	19943
107	19963
107	19984
107	20000
107	20018
107	20037
107	20057
107	20078
107	20098
107	20118
107	20133
107	20146
108	13683
108	13702
108	13723
108	13724
108	13747
108	13748
108	13770
108	13771
108	13791
108	13792
108	13814
108	13815
108	13839
108	13840
108	13865
108	13866
108	13891
108	13892
108	13913
108	13914
108	13934
108	13935
108	13956
108	13957
108	13981
108	14003
108	14028
109	5558
109	5576
109	5596
109	5610
109	5626
109	5644
109	5662
109	5680
109	5700
110	18055
110	18056
110	18066
110	18067
110	18076
110	18077
110	18087
110	18088
110	18097
110	18098
110	18106
110	18107
110	18114
110	18115
110	18128
110	18129
110	18140
110	18141
110	18155
110	18156
110	18171
110	18172
110	18185
110	18186
110	18202
110	18203
110	18220
110	18221
110	18239
110	18240
110	18259
110	18260
110	18279
110	18280
110	18300
110	18301
110	18318
110	18319
110	18362
110	18379
111	3641
111	3661
111	3683
111	3690
111	3703
111	3712
112	4981
112	5007
112	5029
112	5049
112	5080
112	5107
112	5131
112	5153
112	5178
112	5198
112	5209
112	5220
112	5230
112	5241
112	5252
112	5260
113	14428
113	14446
113	14447
113	14463
113	14464
113	14480
113	14481
113	14494
