scan_num	charge	abundance	mz	fit	average_mw	monoisotopic_mw	mostabundant_mw	fwhm	signal_noise	mono_abundance	mono_plus2_abundance	index
2906	1	111000	694.3531	0.007	693.7692	693.3459	693.3458	0	0	0	0	4932
2906	2	13000	409.7171	0.008	817.9153	817.4197	817.4196	0	0	0	0	4933
2906	1	6830	818.4277	0.016	817.9161	817.4205	817.4205	0	0	0	0	4934
2906	2	8780	411.7057	0.008	821.9025	821.3969	821.3968	0	0	0	0	4935
2906	1	5800	822.4052	0.019	821.9035	821.398	821.3979	0	0	0	0	4936
2906	2	9210	428.767	0.02	856.0394	855.5194	855.5195	0	0	0	0	4939
2909	1	10200	623.3156	0.008	622.6911	622.3083	622.3083	0	0	0	0	4952
2909	1	20400	657.3573	0.007	656.7492	656.35	656.35	0	0	0	0	4954
2909	1	103000	694.3524	0.009	693.7684	693.3451	693.3451	0	0	0	0	4955
2909	2	20200	409.7167	0.007	817.9146	817.419	817.4189	0	0	0	0	4956
2909	1	8440	818.4267	0.005	817.9151	817.4194	817.4194	0	0	0	0	4957
2909	2	5580	411.7053	0.009	821.9016	821.3961	821.396	0	0	0	0	4958
2909	1	2350	822.4037	0.022	821.902	821.3965	821.3964	0	0	0	0	4959
2909	2	12200	428.7665	0.014	856.0385	855.5185	855.5185	0	0	0	0	4960
2912	1	7910	623.3159	0.008	622.6915	622.3087	622.3087	0	0	0	0	4972
2912	1	13900	657.3577	0.006	656.7497	656.3504	656.3504	0	0	0	0	4974
2912	1	81700	694.3526	0.008	693.7687	693.3454	693.3454	0	0	0	0	4975
2912	2	19800	409.7168	0.006	817.9149	817.4192	817.4191	0	0	0	0	4976
2912	1	9100	818.4273	0.007	817.9157	817.42	817.42	0	0	0	0	4977
2912	2	2450	411.7055	0.019	821.902	821.3964	821.3964	0	0	0	0	4978
2912	1	1610	822.4041	0.036	821.9024	821.3969	821.3969	0	0	0	0	4979
2912	2	10300	428.7668	0.007	856.0389	855.5189	855.519	0	0	0	0	4980
2912	2	3320	464.7524	0.018	928.0526	927.4902	927.4902	0	0	0	0	4981
2915	1	42700	694.3515	0.01	693.7675	693.3442	693.3442	0	0	0	0	4987
2915	2	26000	409.7161	0.004	817.9134	817.4178	817.4177	0	0	0	0	4988
